time limit,dim,keep,num_feat,num_item,num_data_train,jobtype,step_mu,num_iter_mu,method,lr,best_relat_regret,best_epoch,epoch,patience,tl,mean_relat_eval,std_relat_eval,mean_relat_test,std_relat_test
300,10,1,12,100,200,SG,10,30,IMLE,0.001,0.25890658613091017,39,40,5,300,0.25890658646821973,0.07320822954210215,0.2568807252943516,0.08071455858381466
300,10,1,12,100,200,SG,30,5,IMLE,0.001,0.19664860582926066,261,262,5,300,0.19664860606193543,0.07099965407938497,0.20034515617787838,0.07478138911363867
300,10,1,12,100,200,SG,30,10,IMLE,0.001,0.1578063061585908,303,304,5,300,0.15780630704015494,0.06510090523180892,0.15572055901028217,0.0699093965075857
300,10,1,12,100,200,SG,30,30,IMLE,0.001,0.17255543351146518,181,182,5,300,0.17255543377250432,0.06314223240568886,0.17555788169056177,0.0630356983819591
600,10,1,12,100,200,MSE,0,0,IMLE,0.01,0.09037683803483983,66220,66220,5,600,0.09037683852016926,0.15526246489870402,0.08850375741859898,0.1493448067066699
300,10,1,12,100,200,SG,10,50,IMLE,0.001,0.27537083193852213,59,60,5,300,0.2753708317875862,0.08432857412990623,0.2686623180657625,0.08028830212089243
600,10,1,12,100,200,MSE,0,0,IMLE,0.1,0.0929318997178563,72043,72043,5,600,0.09293190033175051,0.11428574223883411,0.09037687443569302,0.12266477819544515
300,10,1,12,100,200,SG,30,50,IMLE,0.001,0.1946867087060107,136,137,5,300,0.19468671016395092,0.0640842124382485,0.19554428757727146,0.06636622118654567
300,10,1,12,100,200,SG,50,5,IMLE,0.001,0.2690682273269846,360,361,5,300,0.2690682288259268,0.08052316626562359,0.26793324248120187,0.07945405162722469
300,10,1,12,100,200,SG,50,10,IMLE,0.001,0.16883411351667152,335,336,5,300,0.1688341146707535,0.06489913151296713,0.17534436441399157,0.07510559911256247
600,10,1,12,100,200,cla,0,0,SPOPlus,0.01,0.03471709168189738,83,83,5,600,0.0347170919412747,0.03175451678988845,0.03586342472909018,0.04503693239672664
30,10,1,12,100,200,SG,1,5,IMLE,0.01,0.24637195178604604,2,3,5,30,0.2463719528913498,0.07622649651405043,0.24612268511578442,0.07654992263146189
30,10,1,12,100,200,SG,1,10,IMLE,0.01,0.228156256885223,2,3,5,30,0.2281562566757202,0.07378965879958056,0.2248020827025175,0.07198600249842314
30,10,1,12,100,200,SG,1,50,IMLE,0.01,0.38726745663445944,-1,0,5,30,0.3872674570977688,0.09547233585757654,0.3942185865044594,0.10690495880864188
300,10,1,12,100,200,SG,50,30,IMLE,0.001,0.14705612290461473,149,150,5,300,0.1470561232417822,0.049065937121168704,0.1424246591217816,0.05222448795817078
30,10,1,12,100,200,SG,1,30,IMLE,0.01,0.3745109794890851,-1,0,5,30,0.37451098024845125,0.10278535798233789,0.3760113763660192,0.10124172392415767
