n,jobtype,method,n_samples,lambda_imle,sigma,step_mu,n_iter_mu,mean_relat_eval,std_relat_eval,mean_relat_test,std_relat_test
50,SG,IMLE,10.0,10.0,2.0,20,30,0.1870389133691787,0.0452082082629203,0.1627048850059509,0.0421402752399444
50,SG,IMLE,10.0,10.0,2.0,15,20,0.1857572495937347,0.0421739295125007,0.1680644154548645,0.0416836664080619
50,SG,IMLE,10.0,10.0,2.0,15,30,0.180678591132164,0.0362023450434207,0.169391930103302,0.0439924672245979
50,SG,IMLE,10.0,1.0,0.1,10,10,0.2219278365373611,0.0511566549539566,0.2222838252782821,0.0502079501748085
50,SG,IMLE,10.0,10.0,2.0,5,10,0.190100610256195,0.0417825356125831,0.1809264570474624,0.0409296751022338
50,SG,IMLE,10.0,1.0,0.1,15,10,0.2271842509508133,0.0494006611406803,0.2288271188735962,0.0515464060008525
50,SG,IMLE,10.0,10.0,2.0,5,30,0.2036590725183487,0.0489346459507942,0.1947981864213943,0.0482312217354774
50,SG,IMLE,10.0,10.0,2.0,5,20,0.2010905891656875,0.0423277653753757,0.2016145884990692,0.0444968044757843
50,SG,IMLE,10.0,1.0,0.1,10,20,0.2182192206382751,0.0392739214003086,0.2259777784347534,0.0512081906199455
50,SG,IMLE,10.0,1.0,0.1,10,30,0.2203244715929031,0.0457202792167663,0.227957934141159,0.049903068691492
50,SG,IMLE,10.0,1.0,0.1,15,20,0.220697209239006,0.0456605665385723,0.2263553738594055,0.0536855161190032
50,SG,IMLE,10.0,1.0,0.1,20,10,0.2256071716547012,0.0495633743703365,0.2297575324773788,0.0462962426245212
50,SG,IMLE,10.0,1.0,0.1,5,20,0.2186914682388305,0.0477886274456977,0.225535050034523,0.0506677851080894
50,SG,IMLE,10.0,1.0,0.1,15,30,0.2314426749944687,0.0416089706122875,0.2286002039909362,0.0463485978543758
50,SG,IMLE,10.0,1.0,0.1,20,30,0.2199248522520065,0.0411160886287689,0.2236168980598449,0.0462738573551178
