n,jobtype,method,n_samples,lambda_imle,sigma,step_mu,n_iter_mu,mean_relat_eval,std_relat_eval,mean_relat_test,std_relat_test
50,SG,IMLE,10,10.0,0.1,10,10,0.21930652856826782,0.04427436366677284,0.22674457728862762,0.04858042672276497
50,SG,IMLE,10,10.0,0.1,15,30,0.23091572523117065,0.049782730638980865,0.23072445392608643,0.050867367535829544
50,SG,IMLE,10,10.0,0.1,15,10,0.21820220351219177,0.04638966545462608,0.22575414180755615,0.05125514790415764
50,SG,IMLE,10,10.0,0.1,15,20,0.22136741876602173,0.04703531041741371,0.22591257095336914,0.05490287020802498
50,SG,IMLE,10,10.0,0.1,20,10,0.22023743391036987,0.04174666106700897,0.22485095262527466,0.04815139248967171
50,SG,IMLE,10,10.0,0.1,20,20,0.2226582169532776,0.04579942300915718,0.22864271700382233,0.05126425251364708
50,SG,IMLE,10,10.0,0.1,20,30,0.22212421894073486,0.05162711814045906,0.22297565639019012,0.05333495885133743
50,SG,IMLE,10,10.0,0.1,5,10,0.22309644520282745,0.04946461692452431,0.2273942530155182,0.049225278198719025
50,SG,IMLE,10,10.0,0.1,5,20,0.21855254471302032,0.043943244963884354,0.2267516702413559,0.04670038819313049
50,SG,IMLE,10,10.0,0.5,10,20,0.2210385501384735,0.04623528569936752,0.22939300537109375,0.05055887997150421
50,SG,IMLE,10,10.0,0.1,5,30,0.22270244359970093,0.03763327747583389,0.22252914309501648,0.049259718507528305
50,SG,IMLE,10,10.0,0.5,10,10,0.21980318427085876,0.04641559347510338,0.2287733256816864,0.04928785562515259
50,SG,IMLE,10,10.0,0.5,10,30,0.2171434909105301,0.05425245687365532,0.22944843769073486,0.047155726701021194
50,SG,IMLE,10,10.0,0.5,15,20,0.22007408738136292,0.04616594687104225,0.22467532753944397,0.046363525092601776
50,SG,IMLE,10,10.0,0.5,15,10,0.2205345183610916,0.05035504698753357,0.22429274022579193,0.04428454861044884
50,SG,IMLE,10,10.0,0.5,5,20,0.22122064232826233,0.04843459650874138,0.2269597202539444,0.052224237471818924
50,SG,IMLE,10,10.0,0.5,5,10,0.2198197990655899,0.05043556168675423,0.22787688672542572,0.04527983069419861
50,SG,IMLE,10,10.0,0.5,20,30,0.22545364499092102,0.042274583131074905,0.2295885533094406,0.04530954733490944
50,SG,IMLE,10,10.0,0.5,20,10,0.2240751087665558,0.04001203551888466,0.22670283913612366,0.046889111399650574
50,SG,IMLE,10,10.0,0.5,15,30,0.22574485838413239,0.043952733278274536,0.22903434932231903,0.045359835028648376
50,SG,IMLE,10,10.0,0.5,20,20,0.22213008999824524,0.04628654569387436,0.22726629674434662,0.05164777860045433
50,SG,IMLE,10,10.0,1.0,10,30,0.14570549130439758,0.04085022583603859,0.1279732584953308,0.037883929908275604
50,SG,IMLE,10,10.0,1.0,10,10,0.13948692381381989,0.03750738874077797,0.1276477426290512,0.03795027360320091
